URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/B_dfSS3AGio/,flourishscape,n,A Silent Voice,I Don't Want to Set the World on Fire,The Ink Spots
https://www.instagram.com/p/B-DHipsAQWZ/,lofileafs,y,Carol and Tuesday,Summer Crush,Tomppabeats
https://www.instagram.com/p/B-NMWhjgDmB/,penussrays,n,Neon Genesis Evangelion,Quarto de Hotel,Hareton Salvanini
https://www.instagram.com/p/CDSg7pGjTM_/,paletteism,n,Ride Your Wave,,
https://www.instagram.com/p/CEQAHDWAy6y/,lofi_raven,n,Kakegurui,Never Be Yours,Kali Uchis
https://www.instagram.com/p/CEMqOdIg4PQ/,lofi.venuss,y,Future Diary,Morning Sex,Ralph Castelli
https://www.instagram.com/p/CEm9-4YJpJp/,Idealisms,n,Neon Genesis Evangelion,Rain on Me (slowed),Joji
https://www.instagram.com/p/CEcUKF8gSrK/,lofi.sun,n,Kakegurui,A World That's Ending,Datfootdive
https://www.instagram.com/p/CEO3uEigXrc/,cutchlofi,n,Tokyo Ghoul,Aishite,Kikuo & Hatsune Miku
https://www.instagram.com/p/CE9UtHKAEJB/,cutchlofi,y,Your Name,Moonbeams,Limes
https://www.instagram.com/p/CFmjkRnCwgr/,mono.lofi,y,Your Name,Sweet,Flingu
https://www.instagram.com/p/CFkTKcWAV8U/,0ranishi,y,Re: Zero,As the World Caves In,Matt Maltese
https://www.instagram.com/p/CFXKU4IgaNY/,izanamiiiii_,y,Kakegurui,Love Me Love Me Love Me,Uttatemita
https://www.instagram.com/p/CFqCnLfAjOY/,,y,Wolf Children,Being in Love with U,Tomppabeats
https://www.instagram.com/p/CFzEf3vAurX/,owlofi,y,From Up on Poppy Hill,Brasil,Jou Beats
https://www.instagram.com/p/CGFXE3VAfeO/,cutchlofi,n,Darling in the Franxx,A World That's Ending,Datfootdive
https://www.instagram.com/p/CGQREe5ACcr/,optiul,n,Fire Force,A World That's Ending,Datfootdive
https://www.instagram.com/p/CGSP7zlAW_J/,cutchlofi,n,"Love, Chunibyo & Other Delusions",Depiction,Wenzel
https://www.instagram.com/p/CGTtjCJDK9O/,paletteism,y,Robot Carnival,Arurian Dance,Nujabes
https://www.instagram.com/p/CGZ-6XAA0BA/,cutchlofi,n,Tokyo Ghoul,Lost Umbrella,Inaba Cumori
https://www.instagram.com/p/CFpkVD3gtVe/,optiul,n,The End of Evangelion,American Boy (feat. Kanye West),Estelle
https://www.instagram.com/p/CGgMyEXgArs/,,n,Hayao Miyazaki Collection,Always Forever,Cults
https://www.instagram.com/p/CGfaSuklPsB/,kensaai,y,Persona 3,Last Surprise,Persona 5 OST
https://www.instagram.com/p/CGvKXsJAcpE/,Idealisms,n,Perfect Blue,ON TOP,The Girl Next Door
https://www.instagram.com/p/CGyghgQjrjX/,paletteism,y,Rascal Does Not Dream of Bunny Girl Senpai,Mind Ya Biz,Samuel Wünsche
https://www.instagram.com/p/CGz5T0ijh8z/,paletteism,y,Blue Spring Ride,Ghostin',Knowmadic
https://www.instagram.com/p/CG0IbiiDka3/,5.pmde,n,Hunter x Hunter (1999),Little Dark Age,MGMT
https://www.instagram.com/p/CGvX6QwAwFm/,loversfest,y,Re: Zero,The Night,Lovewave
https://www.instagram.com/p/CGiQtARBeuS/,Idealisms,n,Tokyo Ghoul,Play Date,Melanie Martinez
https://www.instagram.com/p/CG_L2kRghG3/,,n,Hunter x Hunter (2011),4 H 4 2,smoothtrial42 x shyguy
